"NOME DO BEM","VALOR","PRAZO","1ª PARCELA","PLANO","TIPO DE VENDA",""
"CR5601 - AUTOMÓVEL MÉDIO 50% - R$ 51.000,00","R$ 51.000,00","106","R$ 370,58","40 - PLANO EXCLUSIVO 50%","71 - PARCELA LINEAR",""
"CR5429 - AUTOMÓVEL MÉDIO 70% - R$ 51.000,00","R$ 51.000,00","106","R$ 971,97","21 - PLANO EXCLUSIVO 70%","61 - PARCELA GRADUAL",""
"CR5171 - AUTOMOVEL MÉDIO E UTILITARIO R$ 51.000,00","R$ 51.000,00","106","R$ 1.116,30","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR5429 - AUTOMÓVEL MÉDIO 70% - R$ 51.000,00","R$ 51.000,00","106","R$ 466,76","21 - PLANO EXCLUSIVO 70%","71 - PARCELA LINEAR",""
"CR5601 - AUTOMÓVEL MÉDIO 50% - R$ 51.000,00","R$ 51.000,00","106","R$ 875,73","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR5171 - AUTOMOVEL MÉDIO E UTILITARIO R$ 51.000,00","R$ 51.000,00","106","R$ 611,14","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR5437 - AUTOMÓVEL MÉDIO 70% - R$ 60.000,00","R$ 60.000,00","106","R$ 1.143,48","21 - PLANO EXCLUSIVO 70%","61 - PARCELA GRADUAL",""
"CR5602 - AUTOMÓVEL MÉDIO 50% - R$ 60.000,00","R$ 60.000,00","106","R$ 1.030,26","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR5437 - AUTOMÓVEL MÉDIO 70% - R$ 60.000,00","R$ 60.000,00","106","R$ 549,12","21 - PLANO EXCLUSIVO 70%","71 - PARCELA LINEAR",""
"CR5188 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 60.000,00","R$ 60.000,00","106","R$ 1.313,28","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR5188 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 60.000,00","R$ 60.000,00","106","R$ 718,98","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR5602 - AUTOMÓVEL MÉDIO 50% - R$ 60.000,00","R$ 60.000,00","106","R$ 435,96","40 - PLANO EXCLUSIVO 50%","71 - PARCELA LINEAR",""
